(0.529923,0.175329)
(0.249733,0.1995)
(-0.239204,0.716239)
(-0.564837,-0.568804)
(-0.54561,-0.955779)
(-0.476485,-0.898343)
(-0.692251,-0.150243)
(-0.985046,0.477065)
(-0.981292,0.717887)
(0.993316,0.615009)
(-0.849696,0.509781)
(-0.004944,0.577258)
(0.618122,0.722648)
(0.621052,0.760796)
(0.138951,0.586596)
(-0.470565,0.357524)
(-0.750542,0.329173)
(-0.634266,0.461013)
(-0.238807,0.465773)
(0.263436,0.171514)
(0.694876,-0.259957)
(0.941527,-0.330699)
(0.933988,0.0267037)
(0.573016,0.6639)
(0.031251,0.853145)
(-0.34376,0.622456)
(-0.336344,-0.0663167)
(-0.0389721,-0.00604266)
(0.114261,-0.0892361)
(-0.146886,-0.108585)
(-0.615741,0.073397)
(-0.939604,0.0154424)
(0.996643,0.806543)
(-0.572527,-0.0619526)
(0.0234687,-0.545152)
(-0.0729087,-0.653523)
(-0.688101,-0.606525)
(0.959532,-0.664968)
(-0.947447,-0.757164)
(-0.723106,-0.660329)
(0.197577,-0.205634)
(-0.179785,0.24189)
(-0.109561,0.356822)
(-0.387066,0.168401)
(0.811792,-0.0406201)
(-0.776299,-0.0783105)
(-0.023133,0.094821)
(0.663015,0.166997)
(0.362194,-0.0548723)
(-0.0281991,-0.435408)
(-0.123844,-0.621387)
(0.359386,-0.410108)
(0.828272,0.0290231)
(0.775414,0.307688)
(0.329295,0.207495)
(-0.110202,-0.143345)
(0.354411,-0.406232)
(0.448012,-0.385205)
(-0.138493,-0.234352)
(0.368145,-0.216407)
(-0.20304,-0.486801)
(0.71514,-0.614978)
(-0.318064,-0.76162)
(-0.209967,-0.904141)
(0.279611,-0.773736)
(-0.121982,-0.290811)
(0.634022,0.0739769)
(0.332347,0.803613)
(-0.46794,0.181829)
(-0.228584,0.189093)
(0.218238,0.930357)
(0.684927,0.227912)
(0.486709,0.0695212)
(-0.0503861,0.23957)
(-0.521592,0.771386)
(-0.534165,0.23722)
(-0.307138,0.644673)
(-0.0783715,0.23719)
(-0.172246,-0.518906)
(-0.458815,-0.66625)
(-0.628071,-0.483627)
(-0.421369,-0.198645)
(0.168554,-0.207587)
(0.76458,-0.414533)
(0.505234,-0.577288)
(0.866207,-0.546525)
(0.403333,-0.48262)
