(-0.0340281,0.599597)
(0.64803,0.238319)
(0.817652,-0.149541)
(0.557421,-0.317881)
(0.144047,-0.272774)
(0.103122,-0.192969)
(0.547441,-0.173315)
(0.501206,-0.0621967)
(-0.0480667,0.183905)
(0.394971,0.39082)
(0.118992,0.128697)
(-0.8652,-0.541307)
(0.0382397,-0.0280465)
(-0.848415,0.0479446)
(-0.598224,-0.702567)
(-0.639302,0.663472)
(-0.799463,0.408521)
(-0.972594,0.339213)
(-0.768334,0.385968)
(-0.245674,-0.739494)
(0.182073,-0.917783)
(0.254585,-0.856685)
(0.0266427,-0.426466)
(-0.245338,-0.187841)
(-0.36375,0.0565203)
(-0.338725,0.322916)
(-0.305277,0.684744)
(-0.291879,0.77694)
(-0.246712,0.421613)
(-0.0549944,-0.319559)
(0.115665,-0.837519)
(0.238289,-0.74691)
(0.210028,-0.0733055)
(0.451186,0.6386)
(0.591357,0.808893)
(-0.0474258,0.470168)
(0.322886,0.126652)
(-0.131077,0.229072)
(0.363262,0.711325)
(-0.154912,0.834773)
(-0.872036,0.307688)
(-0.57033,-0.701743)
(0.268349,0.989685)
(0.6798,0.994079)
(-0.115238,-0.597613)
(0.630848,0.400372)
(0.41026,0.82992)
(0.163457,0.646504)
(0.336009,0.141881)
(0.454237,-0.141697)
(0.312632,-0.0916776)
(-0.277413,0.0545366)
(-0.833674,-0.0291452)
(0.956816,-0.366894)
(-0.903867,-0.740532)
(-0.59975,-0.927824)
(0.368877,-0.846767)
(0.200232,-0.64626)
(-0.15006,-0.499496)
(0.136082,-0.486465)
(-0.0698263,-0.492508)
(-0.161718,-0.540727)
(-0.164586,-0.501144)
(0.738334,-0.491592)
(0.547533,-0.176153)
(-0.0348521,0.211554)
(-0.369274,0.944212)
(-0.356639,0.189734)
(-0.12479,0.179937)
(0.104038,0.788629)
(0.0744041,0.108646)
(-0.142796,0.00256355)
(-0.29722,0.0122379)
(-0.157445,0.109104)
(0.0511185,-0.210639)
(0.0737327,-0.75811)
(-0.378704,0.981323)
(-0.776391,-0.948882)
(0.935667,-0.471572)
(-0.351421,0.301401)
(-0.0188299,0.6404)
