(0.114292,0.203589)
(0.320536,0.369335)
(0.0946989,0.182623)
(-0.270028,-0.522111)
(-0.37083,-0.688375)
(-0.0627155,-0.397595)
(0.49205,0.281655)
(0.867031,0.637654)
(0.882382,0.642689)
(0.562914,0.389203)
(0.0235298,0.175298)
(-0.402264,0.0994598)
(-0.520005,0.0471206)
(-0.312204,-0.0811487)
(0.100131,-0.160253)
(0.492874,-0.01236)
(0.641346,0.321482)
(0.428755,0.542009)
(-0.0811487,0.356365)
(-0.648213,-0.178137)
(-0.927488,-0.600116)
(-0.832972,-0.620472)
(-0.402264,-0.234474)
(0.192206,0.13007)
(0.588946,0.0359203)
(0.643452,-0.544267)
(0.453383,-0.981872)
(0.223395,-0.997559)
(0.0314341,-0.919095)
(-0.0827357,-0.376415)
(-0.0920743,0.0428175)
(0.0210273,0.114719)
(0.266121,-0.0166326)
(0.548692,-0.119785)
(0.658589,-0.13712)
(0.408551,-0.141514)
(-0.197943,-0.255928)
(-0.803735,-0.378765)
(-0.997955,-0.457228)
(-0.711844,-0.337626)
(-0.0685141,-0.0757775)
(0.347484,0.422437)
(0.143315,0.608509)
(-0.50148,-0.0776391)
(-0.933042,0.066805)
(-0.898648,-0.0887478)
(-0.410932,0.259377)
(0.311594,0.821192)
(0.51265,0.551469)
(0.148137,0.66747)
(-0.38789,0.663686)
(-0.253578,0.470138)
(0.435987,-0.0932951)
(0.388348,-0.549638)
(-0.087405,-0.678976)
(0.251473,-0.402783)
(-0.00903348,0.0314646)
(-0.0410779,0.215674)
(-0.954222,-0.108341)
(-0.937681,-0.385968)
(-0.351573,-0.439589)
(-0.26252,0.34315)
(-0.575915,0.409131)
(-0.867367,-0.0332957)
(-0.743767,-0.108097)
(-0.0837733,0.0807825)
(0.504715,-0.639668)
(0.44142,-0.883084)
(-0.253945,-0.682455)
(-0.946745,-0.372631)
(-0.9859,-0.196753)
(0.995727,-0.234565)
(-0.885617,-0.362682)
(-0.286966,-0.580767)
(0.285928,-0.757103)
(0.459914,-0.824732)
(0.136204,-0.721793)
(-0.384442,-0.64919)
(-0.42613,-0.609577)
(0.182287,-0.565844)
(0.904141,0.176611)
(0.881985,0.421613)
(0.329447,-0.421369)
(-0.2107,0.321238)
(0.158086,0.0357067)
(0.73925,-0.961577)
(0.207984,-0.898618)
(0.139164,-0.308847)
(0.516037,0.271859)
(0.29133,0.0735801)
(-0.0607624,-0.478256)
(0.139378,-0.614917)
(0.186956,0.0186468)
(0.0495315,0.798059)
(-0.40141,0.824244)
(-0.783898,-0.263802)
(-0.843654,-0.0906705)
(-0.700308,0.10477)
(-0.648701,-0.130741)
(-0.566729,-0.221534)
(-0.546129,0.449965)
(-0.484939,0.354717)
(-0.10474,0.495163)
(0.483963,-0.51268)
(0.854183,-0.606372)
(0.832545,-0.266579)
(0.380047,0.255196)
(-0.123569,0.278909)
