(-0.104862,0.329417)
(-0.10239,-0.604938)
(0.39082,-0.973907)
(0.491714,0.934721)
(-0.350383,-0.363842)
(-0.369274,0.450942)
(0.437178,0.200323)
(-0.244209,0.809381)
(-0.177984,-0.312021)
(0.215613,-0.192541)
(0.642689,0.29722)
(0.52916,0.0448927)
(0.10535,-0.0758995)
(-0.566942,0.660573)
(-0.840144,-0.414502)
(-0.565264,0.928556)
(-0.132267,-0.969451)
(0.155339,-0.579791)
(0.108951,0.184698)
(-0.143956,-0.00762963)
(-0.308115,-0.502701)
(-0.231788,-0.794671)
(-0.0112003,-0.356029)
(0.176458,0.361278)
(0.248451,0.860622)
(0.269539,0.759331)
(0.284066,0.548631)
(0.192999,0.40202)
(-0.0308542,0.816858)
(-0.238868,0.680135)
(-0.222144,0.602252)
(0.0401929,0.814386)
(0.27784,0.36784)
(0.135502,0.800409)
(-0.372204,0.41615)
(-0.908994,-0.0201422)
(-0.988342,0.813135)
(0.99707,0.403668)
(-0.714774,0.157109)
(0.0232551,0.157628)
(0.554918,0.510086)
(0.584429,0.807917)
(0.0803552,0.9682)
(-0.582141,0.556688)
(-0.839808,0.0513321)
(-0.519059,-0.39198)
(0.0462661,0.234382)
(0.208594,-0.382733)
(-0.129154,0.0337535)
(-0.735832,-0.172521)
(0.99353,0.190863)
(-0.986877,0.233375)
(-0.925047,-0.591357)
(-0.593799,-0.258095)
(-0.4785,-0.00335704)
(-0.440962,0.0885952)
(-0.217383,-0.524033)
(0.232185,-0.971313)
(0.603504,-0.998169)
(0.696585,-0.99237)
(0.526505,-0.991607)
(0.349071,-0.998108)
(0.565264,-0.98706)
(0.539445,-0.974242)
(-0.369579,-0.382824)
(-0.458296,0.39436)
(-0.127506,0.774163)
(-0.904721,0.421003)
(-0.070101,-0.0389416)
(-0.276833,-0.285165)
(0.0607013,0.447432)
(-0.555437,0.291208)
(0.812159,-0.288705)
(0.159368,0.336192)
(-0.236732,0.291849)
(0.192877,-0.551469)
(0.26545,-0.757897)
(-0.652669,-0.515275)
(0.175848,-0.262581)
(0.597613,-0.306314)
(0.366894,-0.595019)
(0.405225,-0.813929)
(0.724845,-0.751427)
(-0.413007,-0.47322)
(0.438032,-0.196753)
(0.300638,-0.0584429)
(-0.633229,-0.0246284)
(-0.775506,-0.0393994)
(-0.378887,-0.0846889)
(0.4073,-0.251717)
(0.750084,-0.54619)
(0.480483,-0.866848)
(-0.266518,0.990875)
(-0.863582,-0.913663)
(-0.953673,-0.550554)
(-0.38496,0.0300607)
(0.472182,0.543199)
(0.889553,0.767113)
(0.720237,0.751061)
(0.0745262,0.471938)
(-0.54564,0.126255)
(-0.646779,-0.0317392)
(-0.185888,0.0470595)
(0.442427,0.205939)
(0.780175,0.185858)
(0.558367,-0.132664)
(0.0391247,-0.615192)
(-0.455153,-0.887234)
(-0.383801,-0.806024)
(-0.0271615,-0.391461)
(0.818751,0.0444655)
(-0.31254,0.190558)
(0.172308,0.109256)
(0.776055,0.00372326)
(0.0454726,0.0703452)
(-0.25251,0.250069)
(-0.492904,0.324686)
(-0.437727,0.191168)
(-0.395672,0.00723289)
(-0.215033,-0.0260933)
(0.0511795,0.12775)
(0.482009,0.163945)
(0.842921,-0.0712912)
(0.941649,-0.491287)
(0.66982,-0.598773)
(0.0148625,-0.227454)
(-0.69628,0.658406)
(-0.984497,-0.0330515)
(-0.986236,0.432295)
(-0.9794,0.310984)
(-0.712607,-0.77401)
(-0.378399,-0.922666)
(-0.107028,-0.580584)
(0.164647,0.0991852)
(0.275765,0.322428)
(0.098178,0.165685)
(-0.43321,0.0185858)
(-0.940306,0.270516)
(-0.99588,0.737602)
(-0.922605,0.857082)
(-0.285623,0.428053)
(0.447523,-0.709525)
(0.639546,-0.951262)
(0.41023,0.930418)
(-0.209357,-0.115482)
(-0.680898,0.467177)
(-0.732536,0.236702)
(-0.549944,0.0286874)
(-0.161931,0.0701926)
(0.268685,0.385723)
(0.670797,-0.18247)
(0.776879,-0.145787)
(0.0915555,-0.378735)
(0.4691,-0.298349)
(0.652455,-0.192755)
(-0.11652,0.118748)
(-0.484878,0.161229)
(-0.620441,-0.0451979)
(-0.417035,-0.357311)
(-0.296854,-0.334178)
(-0.338206,0.116947)
(-0.482559,0.662099)
(-0.434645,0.789178)
(-0.0741905,0.347514)
(0.48384,-0.384777)
(0.820368,-0.749077)
(0.825526,-0.606708)
(0.516404,-0.22074)
(0.172063,-0.0437025)
(0.0429701,-0.296518)
(0.0323496,-0.610675)
(-0.112033,-0.534257)
(-0.519639,0.0461135)
(-0.926695,0.62566)
(-0.99765,0.716086)
(-0.939329,0.218024)
(-0.447249,-0.573626)
(0.092349,0.99707)
(0.333598,-0.793146)
(0.272286,-0.179266)
(0.0142521,0.600208)
(-0.284371,0.734336)
(-0.623188,-0.125462)
(-0.935392,0.737053)
(-0.998169,0.76867)
(-0.935942,0.397656)
(-0.366802,0.207801)
(0.409253,0.217414)
(0.752556,0.578936)
(0.470351,0.88522)
(-0.225288,0.890622)
(-0.775689,0.328074)
(-0.737266,-0.145238)
(-0.21485,-0.235725)
(0.281838,0.690603)
(0.230567,0.26426)
(-0.226569,-0.0540178)
(-0.856136,-0.00286874)
(-0.998749,0.403211)
(-0.993957,-0.158025)
(-0.800073,-0.364238)
(-0.504807,-0.086642)
(-0.448592,0.284066)
(-0.387219,-0.350444)
(-0.0892056,-0.224464)
(0.285073,-0.366924)
(0.546342,0.799676)
(0.425703,-0.872341)
(0.278726,0.922971)
(0.168157,-0.929228)
(0.740226,0.9476)
(0.172216,-0.752678)
(0.172552,-0.116001)
(0.528367,0.469893)
(-0.633106,0.680288)
(-0.962951,0.541307)
(-0.871029,0.110477)
(0.00573748,-0.485946)
(0.716422,-0.790155)
(0.845058,-0.549394)
(0.274606,-0.0196234)
(-0.378033,0.312571)
(-0.479812,0.0956755)
(0.0703452,-0.261055)
(0.677633,-0.391644)
(0.864009,-0.256935)
(0.596942,-0.397351)
(0.430158,-0.68746)
(0.592395,-0.878842)
(0.110111,-0.146397)
(-0.114109,0.224952)
(0.448256,-0.714164)
(0.284341,0.503403)
(-0.691214,-0.221686)
(-0.817591,-0.00820948)
(-0.572985,-0.00439467)
(-0.197333,-0.598682)
(-0.0860012,0.475173)
(-0.325846,0.88702)
(-0.403058,0.773736)
(-0.158727,0.489334)
(0.681204,0.523423)
(0.690542,0.72689)
(0.523301,0.766228)
(0.175115,0.219092)
(-0.909482,-0.555071)
(0.0613422,-0.884213)
(-0.736625,-0.587359)
(0.421522,0.253304)
(0.486557,0.803491)
(0.363567,0.804498)
(0.70452,0.404614)
(-0.0914335,-0.0511185)
(-0.52794,-0.182287)
(-0.705222,-0.17365)
(-0.523118,-0.344737)
(-0.230201,-0.742576)
(0.147496,-0.999298)
(0.448836,-0.880154)
(0.601886,-0.375683)
(0.438276,0.125919)
(0.0522172,0.173864)
(-0.333781,-0.204657)
(-0.434431,-0.604053)
(-0.214331,-0.666829)
(0.118809,-0.400494)
(0.176397,-0.107944)
(-0.209174,-0.0703146)
(-0.847896,-0.207129)
(-0.994598,-0.226691)
(0.997497,-0.0306406)
(-0.740165,0.364452)
(-0.0160833,0.645222)
(0.386944,0.730155)
(0.347209,0.662954)
(-0.0505387,0.720756)
(-0.480422,0.729087)
(-0.763298,0.845302)
(-0.920255,0.655568)
(-0.988647,0.839534)
(-0.980895,0.252327)
(-0.828944,-0.183538)
(-0.518876,0.17066)
(-0.210608,0.664083)
(-0.114017,0.175817)
(-0.347453,-0.479751)
