(-0.134129,0.679922)
(-0.57973,0.779626)
(-0.853969,-0.352153)
(-0.819727,-0.247902)
(-0.448988,-0.385693)
(0.110935,-0.940886)
(0.476638,0.0283822)
(0.450301,0.148656)
(-0.0371105,0.26484)
(-0.313303,0.121616)
(-0.388287,0.417646)
(0.378674,0.719901)
(0.237648,0.868862)
(-0.0712912,0.596851)
(-0.0596026,0.101047)
(0.395459,-0.369396)
(0.13007,-0.465529)
(-0.0367443,-0.308939)
(0.0445265,-0.144566)
(-0.0483108,-0.124882)
(-0.167364,-0.129887)
(-0.199347,0.0213324)
(0.133824,0.351787)
(0.64333,0.607959)
(0.958129,0.581713)
(0.841609,0.264748)
(0.277322,-0.218085)
(-0.311045,-0.527055)
(-0.430708,-0.516007)
(-0.0809351,-0.258217)
(0.3043,0.0368664)
(0.252266,0.124546)
(-0.314035,-0.0859401)
(-0.885617,-0.517869)
(-0.992767,-0.922025)
(-0.664541,0.990631)
(-0.172552,-0.98001)
(-0.0373547,0.992309)
(-0.423841,-0.848872)
(-0.909146,-0.755181)
(0.991729,-0.654866)
(-0.85464,-0.478011)
(-0.319102,0.330638)
(0.0364391,0.443098)
(-0.0365612,-0.417341)
(-0.316202,0.310068)
(-0.471755,0.240699)
(-0.343913,-0.689657)
(-0.141697,-0.850551)
(-0.168187,-0.315531)
(-0.48732,0.489456)
(-0.831019,0.813227)
(-0.936918,0.603259)
(-0.628101,0.160802)
(-0.172857,-0.0549028)
(-0.0343638,0.108737)
(-0.469344,0.388165)
(-0.974059,0.443312)
(-0.982055,0.275948)
(0.996551,0.108707)
(-0.891598,0.129582)
(-0.248512,0.416486)
(0.135105,0.638356)
(-0.0524003,0.586627)
(-0.560717,0.0721763)
(-0.905454,-0.4008)
(-0.780511,-0.615467)
(-0.219398,-0.0848109)
(0.462386,0.436567)
(0.700827,0.852992)
(0.390637,0.0176092)
(-0.356945,-0.131779)
(-0.85754,-0.387829)
(-0.879635,0.813227)
(-0.385754,-0.843532)
(0.303995,-0.21015)
(0.360759,0.738212)
(-0.341472,0.887814)
(-0.0352184,0.662893)
(-0.928709,0.0712302)
(0.973754,-0.51793)
(0.108402,-0.869228)
(0.593951,-0.746818)
(0.600208,-0.0350658)
(0.260781,0.685812)
(-0.649495,0.230781)
(-0.669088,0.106571)
(-0.433058,0.189062)
(0.164525,0.464156)
(0.229194,-0.364177)
(-0.0677511,-0.423353)
(-0.304544,-0.286416)
(0.061037,0.0637837)
(0.673299,0.196539)
(0.121799,0.298105)
(0.636982,0.382855)
(-0.361461,0.475509)
(-0.994934,0.343272)
(-0.993255,-0.0364086)
(-0.460067,-0.548479)
(0.518052,-0.809626)
(0.86932,-0.569933)
(0.673757,0.0625019)
(0.193396,0.750786)
(0.0420545,0.510575)
(0.268197,0.908475)
(0.623127,0.655843)
(0.70745,0.55855)
(0.447188,0.693319)
