(0.320231,0.257149)
(0.23191,0.220344)
(0.0966826,0.208899)
(0.0486465,0.192175)
(0.114475,0.148869)
(0.198309,0.0599078)
(0.193793,-0.0721152)
(0.0896634,-0.222327)
(-0.0730613,-0.332865)
(-0.195349,-0.355358)
(-0.1713,-0.319315)
(-0.106296,-0.200018)
(-0.13599,-0.0394299)
(-0.159795,0.0575884)
(-0.0906705,0.0294198)
(0.0736412,-0.0787988)
(0.204505,-0.173956)
(0.264199,-0.123203)
(0.302469,0.0897855)
(0.388012,0.268715)
(0.475387,0.309732)
(0.477798,0.197577)
(0.341807,0.0116581)
(0.0689413,-0.170171)
(-0.299539,-0.167058)
(-0.497513,0.0770287)
(-0.435408,0.122623)
(-0.204321,-0.0835292)
(-0.00350963,-0.302011)
(-0.00665304,-0.409742)
(-0.0711997,-0.290262)
(-0.244179,-0.0301523)
(-0.282968,0.263222)
(-0.195929,0.406964)
(-0.203284,0.378338)
(-0.274422,0.336985)
(-0.284402,0.2884)
(-0.0978118,0.214331)
(0.265908,0.134098)
(0.427076,-0.133854)
(0.286386,-0.331462)
(-0.121921,-0.463576)
(-0.499405,-0.361217)
(-0.446822,-0.298196)
(-0.117038,-0.312113)
(0.220649,-0.280679)
(0.316843,-0.269662)
(0.184973,-0.242988)
(-0.0750755,-0.245613)
(-0.166845,-0.118595)
(-0.00161748,0.0943022)
(0.312998,0.157476)
(0.475204,-0.0158391)
(0.330851,-0.0734275)
(-0.0340587,-0.0776391)
(-0.357311,0.146245)
(-0.318949,0.544023)
(-0.146947,0.650166)
(-0.103916,0.539506)
(-0.162267,0.207801)
(-0.214576,-0.112064)
(-0.268441,-0.20661)
(-0.218482,-0.120182)
(-0.0935697,0.10007)
(0.105472,0.233283)
(0.318369,0.145817)
(0.403882,-0.0961333)
(0.32551,-0.28074)
(0.190771,-0.266366)
(0.028077,-0.143773)
(-0.113346,-0.0354015)
(-0.159764,0.0210273)
(-0.135502,0.00778222)
(-0.0675985,-0.0112613)
(0.0350658,0.0229194)
(0.187201,0.0851772)
(0.355632,0.0520951)
(0.414838,-0.0589312)
(0.269295,-0.109226)
(-0.0660115,-0.202338)
(-0.456313,-0.0763878)
(-0.567186,0.201544)
(-0.436689,0.217383)
(-0.134098,0.13831)
(0.13477,0.0702231)
(0.129704,-0.0252998)
(-0.114353,-0.0748314)
(-0.359111,0.0381481)
(-0.389569,0.159612)
(-0.242378,0.0631428)
(-0.0440687,-0.0759911)
(-0.00643941,-0.198279)
(-0.131382,-0.211158)
(-0.247017,-0.0535905)
(-0.210059,0.21543)
(0.0628681,0.4326)
(0.360271,0.403577)
(0.402081,0.277383)
(0.247841,0.137852)
(0.1095,-0.0551164)
(0.0341807,-0.172582)
(-0.0124516,-0.184973)
(-0.0620136,-0.136113)
(-0.129398,-0.0602741)
(-0.12888,0.0182195)
(-0.00143437,0.110813)
(0.23835,0.18305)
(0.455184,0.131016)
(0.473495,0.13361)
(0.279611,0.220313)
(-0.00640889,0.190588)
(-0.136448,0.0535905)
(-0.0960112,-0.0466323)
(0.0125126,-0.0679342)
(0.100864,-0.0224921)
(0.160466,0.0320139)
(0.216041,0.0357067)
(0.256783,-0.0257271)
(0.204321,-0.0892972)
(0.0145878,-0.0964385)
(-0.251747,-0.0194098)
(-0.378887,0.191656)
(-0.318674,0.289102)
(-0.139927,0.268441)
(0.0725425,0.285287)
(0.161504,0.283944)
(0.0834681,0.289346)
(-0.0421461,0.214789)
(-0.0209052,0.0172124)
(0.0660726,-0.215186)
(0.0185858,-0.351939)
(-0.105899,-0.268624)
(-0.339274,0.0100711)
(-0.351543,0.392773)
(-0.188391,0.51146)
(-0.0865505,0.372814)
(-0.0639973,0.15244)
