(-0.00985748,0.0069277)
(-0.156682,0.129521)
(-0.137547,0.150243)
(-0.0077517,0.0648518)
(0.113651,-0.00756859)
(0.126865,0.00393689)
(0.0495621,0.0862148)
(-0.0218513,0.136082)
(0.00283822,0.0753197)
(0.130985,-0.104038)
(0.174291,-0.342692)
(0.0934477,-0.461196)
(0.0177618,-0.325846)
(-0.21897,-0.0893887)
(-0.341197,0.215583)
(-0.248268,0.342631)
(-0.069216,0.196051)
(0.178472,0.0134281)
(0.240211,-0.117069)
(0.116398,-0.0244453)
(-0.0468764,0.227729)
(0.0182501,0.451216)
(0.098941,0.438246)
(0.14597,0.186651)
(0.145268,-0.130741)
(-0.0801111,-0.260598)
(-0.382672,-0.0671712)
(-0.409162,0.331095)
(-0.213019,0.424207)
(0.0375683,0.187658)
(0.240822,-0.19248)
(0.058504,-0.470412)
(-0.164922,-0.387799)
(-0.356822,-0.093997)
(-0.343242,0.190588)
(-0.175939,0.126347)
(-0.0623188,-0.171422)
(-0.245003,-0.402112)
(-0.473251,-0.386395)
(-0.484573,-0.264321)
(-0.247139,-0.18305)
(0.112918,-0.145756)
(0.313456,-0.266243)
(0.3661,-0.331095)
(0.35255,-0.162816)
(0.271157,0.102206)
(0.190527,0.270699)
(0.0648213,0.273354)
(-0.102908,0.107883)
(-0.220313,-0.0574053)
(-0.236427,-0.141514)
(-0.0769677,-0.213996)
(0.0892666,-0.318705)
(0.110569,-0.415967)
(-0.00631733,-0.366588)
(-0.282846,-0.192419)
(-0.391095,0.096408)
(-0.169897,0.216315)
(0.265572,0.143834)
(0.479141,-0.239448)
(0.352214,-0.390027)
(0.0261544,-0.239723)
(-0.391217,0.076693)
(-0.364238,0.516404)
(-0.17365,0.599963)
(-0.0106815,0.479843)
(0.0908841,0.252602)
(0.109134,0.0384228)
(0.0325327,-0.133824)
(-0.0789209,-0.240425)
(-0.230476,-0.263161)
(-0.427137,-0.159642)
(-0.56737,0.131321)
(-0.50972,0.428144)
(-0.324351,0.528855)
(-0.0893582,0.439985)
(0.253975,0.253243)
(0.446059,-0.0368664)
(0.364727,-0.200751)
(0.207282,-0.163549)
(0.0833766,-0.0928678)
(0.0772729,-0.013245)
(0.130589,0.0217597)
(0.158818,-0.00292978)
(0.144627,-0.0927152)
(0.136082,-0.23722)
(0.083224,-0.410382)
(0.0317392,-0.50679)
(0.0477004,-0.457869)
(0.0225532,-0.243812)
(-0.14655,-0.0449843)
(-0.265114,0.0464797)
(-0.306253,0.00189215)
(-0.358654,-0.12479)
(-0.41731,-0.183294)
(-0.371624,-0.138737)
(-0.19834,0.0265816)
(0.0500809,0.223395)
(0.321604,0.192816)
(0.355998,0.0353099)
(0.138371,-0.119327)
(-0.17069,-0.235664)
(-0.372478,-0.156896)
(-0.275552,-0.118381)
(-0.0435194,-0.09888)
(0.0554216,-0.075869)
(-0.0711081,-0.0955535)
(-0.314615,-0.0580157)
(-0.438429,0.0642415)
(-0.321451,0.0301828)
(-0.0393689,0.0393994)
(0.164708,0.13712)
(0.183142,0.198492)
(0.0346995,0.254982)
(-0.128086,0.219886)
(-0.153447,0.0955229)
(-0.0269478,0.0111698)
(0.100223,0.0306101)
(0.142399,0.103671)
(0.105411,0.159795)
(0.0453505,0.136906)
(-0.00305185,0.0469375)
(-0.0555437,-0.0238044)
(-0.134739,-0.0309763)
(-0.18131,0.00772118)
(-0.119633,0.00683615)
(0.0722373,-0.0475478)
(0.256783,-0.15479)
(0.33198,-0.223731)
(0.317911,-0.102969)
(0.180639,0.0516678)
(0.0624714,0.0372021)
(0.0699484,-0.0847499)
(0.104892,-0.197729)
(0.0819422,-0.163427)
(-0.0573443,0.0118717)
(-0.182043,0.230018)
(-0.16541,0.363964)
(-0.0882595,0.293313)
(0.130222,0.233314)
(0.382824,0.177557)
(0.527268,0.136876)
(0.546709,0.197546)
(0.495102,0.213324)
(0.414838,0.105075)
(0.353343,-0.102756)
(0.246529,-0.175695)
(0.0778832,-0.0575579)
(-0.0871609,0.0910367)
(-0.136174,0.1713)
(-0.0640583,0.112552)
(0.063509,0.011475)
(0.132878,-0.0277718)
(0.0998871,0.0300913)
(0.0208441,0.120151)
(-0.0111087,0.12122)
(0.0641499,-0.0175787)
(0.148198,-0.255226)
(0.0748009,-0.449477)
(0.0119022,-0.415571)
(-0.117618,-0.192145)
(-0.314249,0.107822)
(-0.26783,0.358013)
(-0.140202,0.293802)
(0.0877102,0.0904874)
(0.235908,-0.100955)
(0.181921,-0.122105)
(0.0100101,0.0937529)
(-0.00607318,0.370556)
(0.138096,0.476638)
(0.165166,0.308969)
(0.159307,-0.0325327)
(-0.000122074,-0.255287)
(-0.271615,-0.156224)
(-0.385693,0.201178)
(-0.256508,0.433271)
(-0.187292,0.293252)
(-0.15183,0.0269173)
(-0.110843,-0.065096)
(-0.0462966,0.0453505)
(0.0980255,0.178655)
(0.228614,0.169469)
(0.22364,0.0928373)
(0.121616,0.0844447)
(0.0600604,0.168889)
(0.10004,0.226722)
(0.122471,0.138829)
(0.0281991,-0.0567949)
(-0.19953,-0.179296)
(-0.376476,-0.0823389)
(-0.332652,0.062624)
(-0.138249,0.161107)
