(0.126652,0.0870693)
(0.307749,-0.111301)
(0.317057,-0.383374)
(0.211219,-0.497726)
(0.0628987,-0.464248)
(-0.135472,-0.383679)
(-0.279122,-0.275704)
(-0.262001,-0.197089)
(-0.148747,-0.143956)
(-0.0534074,-0.0810572)
(0.00808741,-0.051973)
(0.0516373,-0.060976)
(0.0805689,-0.0846889)
(0.0587176,-0.0608234)
(-0.0489212,0.0513627)
(-0.151585,0.252693)
(-0.103671,0.438612)
(-0.0506912,0.410993)
(0.0576189,0.192663)
(0.202826,-0.0681783)
(0.137547,-0.221625)
(-0.0805383,-0.139561)
(-0.278573,0.150212)
(-0.178503,0.446059)
(-0.0365917,0.423627)
(0.0786767,0.122898)
(0.0872219,-0.295419)
(-0.253029,-0.50679)
(-0.472182,-0.402356)
(-0.405591,-0.204291)
(-0.222816,0.140477)
(0.0649434,0.409925)
(0.295602,0.383618)
(0.206824,0.256386)
(0.0510269,0.0664083)
(-0.0485855,-0.0441298)
(-0.0825526,-0.0301828)
(-0.048616,0.00915555)
(0.0119633,-0.0341502)
(0.0738853,-0.187964)
(0.0591754,-0.367687)
(0.0590228,-0.442671)
(0.187109,-0.347484)
(0.350749,-0.13773)
(0.466475,0.027253)
(0.474899,0.0968963)
(0.313242,0.0990631)
(0.0685141,0.00283822)
(-0.154881,-0.0333567)
(-0.245491,0.079104)
(-0.0971709,0.192907)
(0.261361,0.185644)
(0.544023,-0.131382)
(0.50557,-0.374096)
(0.325938,-0.299142)
(-0.0184332,-0.19541)
(-0.266945,-0.1301)
(-0.197516,-0.112949)
(0.049501,-0.161992)
(0.20893,-0.150243)
(0.140507,-0.00021363)
(-0.0719321,0.163091)
(-0.188269,0.173315)
(-0.128574,-0.0702536)
(-0.0525834,-0.382275)
(-0.073336,-0.543443)
(0.0160527,-0.365886)
(-0.0802637,0.0694601)
(-0.0330821,0.389111)
(0.147038,0.39494)
(0.354167,0.136509)
(0.434309,-0.224982)
(0.28428,-0.273904)
(0.0621357,-0.096469)
(-0.135289,-0.0116581)
(-0.0804163,-0.0687277)
(0.0446181,-0.258889)
(0.0804468,-0.377361)
(0.048616,-0.19425)
(-0.113865,0.151891)
(-0.0978423,0.374523)
(-0.00314341,0.230689)
(0.127903,-0.148564)
(-0.00454726,-0.406751)
(-0.339702,-0.307871)
(-0.565935,0.171087)
(-0.42674,0.49913)
(-0.225929,0.352886)
(0.162542,0.137516)
(0.40315,-0.129398)
(0.344157,-0.204047)
(0.106723,-0.0362865)
(-0.129704,0.119327)
(-0.102329,0.237831)
(0.188482,0.208808)
(0.491653,-0.109043)
(0.450514,-0.40257)
(0.260781,-0.257912)
(-0.0940886,0.0200507)
(-0.212073,0.256508)
(-0.0228889,0.242347)
(0.302347,-0.0279244)
(0.333537,-0.396161)
(0.186865,-0.415662)
(0.030427,-0.14597)
(-0.0291452,0.0901212)
(0.217963,0.171636)
(0.453536,-0.081576)
(0.401349,-0.291818)
(0.0897549,-0.254799)
(-0.345134,-0.109073)
(-0.478378,0.160558)
(-0.281167,0.0695517)
(0.0934477,-0.0850856)
(0.270272,-0.203589)
(0.184149,-0.110019)
(-0.0758995,0.0933256)
(-0.198584,0.259468)
(-0.140996,0.249947)
(0.0259407,0.128117)
(0.142766,0.0872524)
(0.0775475,0.136753)
(-0.0248115,0.241676)
(-0.071749,0.226539)
(0.0029603,0.0501724)
(0.124851,-0.153966)
(0.135136,-0.219581)
(0.0491653,-0.0524003)
(-0.0495621,0.19892)
(-0.00787378,0.358592)
(0.0134281,0.303232)
(0.023133,0.125736)
(0.00421155,0.00631733)
(-0.0728172,0.0224616)
(-0.110141,0.123081)
(-0.072573,0.169195)
(0.00671407,0.100742)
(0.0342418,-0.0186468)
(-0.0390332,-0.0621662)
(-0.192877,0.0052797)
(-0.302164,0.195074)
(-0.293405,0.348643)
(-0.262032,0.313486)
(-0.143284,0.116367)
(0.131535,-0.0350658)
(0.327342,-0.263375)
(0.353679,-0.471908)
(0.323008,-0.477401)
(0.238716,-0.324015)
(0.0571001,-0.108249)
(-0.0539567,0.0267037)
(0.00997955,0.0773949)
(0.119938,-0.026368)
(0.115635,-0.205023)
(-0.0570086,-0.310892)
(-0.233924,-0.210059)
(-0.235206,0.0169073)
(-0.0278024,0.24485)
(0.296548,0.236518)
(0.44023,-0.0159612)
(0.306314,-0.350871)
(-0.110721,-0.59273)
(-0.451125,-0.532487)
(-0.468398,-0.444136)
(-0.314432,-0.383374)
(-0.0589007,-0.219306)
(0.0556963,0.011597)
(0.117466,0.147801)
(0.170843,0.161657)
(0.170141,0.0696432)
(0.0714438,-0.0460524)
(-0.130009,-0.0843837)
(-0.322153,0.0687277)
(-0.320048,0.347118)
(-0.151006,0.515946)
(0.00473037,0.515641)
(0.0184027,0.411634)
(-0.100803,0.297037)
(-0.204749,0.272622)
(-0.179388,0.313364)
(0.00167852,0.343699)
(0.250252,0.250832)
(0.339152,0.000152593)
(0.189001,-0.323252)
(-0.209754,-0.483016)
(-0.503067,-0.352153)
(-0.531022,-0.177068)
(-0.438643,-0.0295724)
(-0.328379,0.056032)
(-0.254707,0.0397046)
(-0.177892,-0.040437)
(-0.079226,-0.0915555)
(0.0267953,-0.0739158)
(0.0742821,-0.0345775)
(0.0349437,-0.0376904)
(-0.0620441,-0.0955535)
(-0.132084,-0.14893)
(-0.0992462,-0.144932)
(0.0295724,-0.0596332)
(0.17246,0.0416883)
(0.251106,0.0656758)
(0.202094,-0.0028077)
(0.0489822,-0.160894)
(-0.199377,-0.26307)
(-0.44496,-0.156163)
(-0.512345,0.0524308)
(-0.414045,0.231666)
(-0.200507,0.327158)
(0.0465102,0.319803)
(0.199805,0.188635)
(0.170232,-0.00357067)
(0.0136113,-0.164312)
