(0.0336619,-0.272073)
(0.139103,-0.345897)
(0.297891,-0.409803)
(0.409314,-0.210089)
(0.434828,-0.0270089)
(0.490188,-0.135807)
(0.481246,-0.496902)
(0.350902,-0.691977)
(-0.0594501,-0.471694)
(-0.353374,0.0171819)
(-0.364086,0.336344)
(0.390576,0.206214)
(0.430342,-0.256142)
(-0.395123,-0.750145)
(0.653768,-0.991363)
(0.112674,-0.974364)
(-0.53798,-0.525925)
(-0.620777,0.304758)
(-0.210334,-0.136418)
(0.280374,0.253059)
(0.618671,0.669546)
(0.806726,0.502976)
(0.897244,-0.027253)
(0.975524,-0.222938)
(0.860408,-0.301309)
(0.428571,-0.20127)
(-0.501297,-0.110233)
(0.98883,-0.0822169)
(-0.980163,-0.193823)
(-0.986999,-0.42436)
(0.994873,-0.750145)
(-0.754021,-0.801935)
(-0.293619,-0.530259)
(-0.349895,-0.260567)
(-0.648335,-0.231513)
(-0.895047,-0.400342)
(-0.879452,-0.450758)
(-0.743095,-0.157689)
(-0.636006,0.402173)
(-0.680563,0.668203)
(-0.724845,0.377422)
(-0.487899,-0.531877)
(0.0682089,-0.00183111)
(0.621418,-0.00100711)
(0.887753,-0.50792)
(0.68807,0.472762)
(0.398175,0.813349)
(0.473037,0.41612)
(0.726096,-0.290262)
(0.0813318,-0.540056)
(0.517685,-0.0374767)
(0.502243,0.554308)
(-0.580615,-0.111972)
(-0.79284,0.746208)
(-0.308847,0.506394)
(0.628895,-0.142613)
(0.116367,-0.124058)
(0.607044,0.21485)
(-0.367138,0.538224)
(-0.931669,0.398144)
(-0.701834,-0.125065)
(0.375225,-0.729576)
(0.741325,-0.983306)
(0.240883,-0.82165)
(0.726829,-0.332987)
(0.266213,0.542039)
(0.285104,0.0416883)
(0.46086,0.0759606)
(0.598071,0.237983)
(0.156652,-0.10886)
(-0.207007,0.590655)
(-0.325175,0.204566)
(0.531754,-0.094882)
(0.344523,0.0169378)
(0.361217,0.177465)
(0.4944,0.195746)
(-0.528489,0.0411695)
(-0.589221,-0.084933)
(-0.209784,-0.0936308)
(0.387951,-0.0547197)
(0.295053,-0.142644)
(-0.478286,-0.355113)
(0.997436,-0.444258)
(-0.998718,-0.298379)
(-0.663594,0.156011)
(0.334605,0.636128)
(0.705741,0.780999)
(0.408918,0.624378)
(-0.306375,0.333537)
(-0.714621,0.249214)
(-0.594989,0.421918)
(-0.220832,0.595904)
(-0.0367138,0.488693)
(-0.213904,0.040315)
(-0.529527,-0.456984)
(-0.639729,-0.719138)
(-0.478439,-0.646199)
(-0.158544,-0.380169)
(0.139988,0.00399792)
(0.330088,0.303018)
(0.423475,0.763878)
(0.371868,0.523026)
(0.119297,-0.189123)
(-0.310984,0.486587)
(-0.689077,0.541917)
(-0.69393,-0.0595721)
(-0.263314,-0.242317)
(0.286905,-0.167791)
(0.492477,0.0667745)
(0.173406,0.133122)
(-0.417798,0.0543229)
(-0.805322,-0.0295419)
(-0.801935,0.0834986)
(-0.553728,0.371715)
(-0.341136,0.643513)
(-0.244362,0.706687)
(-0.129917,0.568712)
(0.215888,0.365642)
(0.536088,0.215369)
(0.556627,0.0859401)
(-0.0809046,-0.149998)
(-0.757286,-0.477096)
(-0.0680258,-0.75927)
(-0.312906,-0.855007)
(0.276284,-0.52443)
(-0.0604266,-0.0253609)
(0.213111,0.384655)
(0.247047,0.84814)
(0.268532,0.986633)
(-0.56621,0.685049)
(-0.325114,0.147801)
(0.229774,-0.493637)
(0.733421,-0.91406)
(0.742485,0.993042)
(0.49794,-0.896878)
(0.101962,-0.671072)
(-0.153203,-0.59917)
(-0.280221,-0.847713)
(-0.298013,-0.995086)
(-0.269051,0.997192)
(-0.216193,-0.735557)
(-0.183935,-0.0475784)
(-0.249794,0.375744)
(-0.396039,0.310465)
(-0.438673,-0.098178)
(-0.196051,-0.35783)
(0.28074,-0.157018)
(0.640889,0.390698)
(0.534623,0.813044)
(-0.0225227,0.777367)
(-0.676778,0.224342)
(-0.854579,-0.476058)
(-0.470992,-0.933226)
(0.178472,-0.986694)
(0.47557,-0.7828)
(0.273446,-0.427717)
(-0.301218,-0.109226)
(-0.43321,0.171941)
(-0.124332,0.205329)
(0.833308,0.0423902)
(0.202429,-0.549608)
(0.1507,-0.465529)
(0.57268,0.252083)
(-0.350017,-0.394971)
(-0.601733,-0.161565)
(-0.475448,0.691794)
(0.0642109,0.0848415)
(0.445784,0.443251)
(0.740959,0.69805)
(0.853145,0.201514)
(0.956084,-0.136326)
(0.939879,-0.275094)
(0.687643,-0.246376)
(-0.0422071,-0.153325)
(-0.885311,-0.0975066)
(0.998413,-0.154759)
(-0.981964,-0.319254)
(-0.999207,-0.63451)
(-0.919248,-0.867061)
(-0.430128,-0.684347)
(-0.284127,-0.358562)
(-0.5421,-0.18247)
(-0.796747,-0.368114)
(-0.847591,-0.484848)
(-0.785211,-0.384716)
(-0.756035,0.24546)
(-0.725211,0.531144)
(-0.637043,0.629475)
(-0.447737,-0.349956)
(-0.298379,-0.229347)
(-0.151158,-0.375103)
(0.103336,0.811274)
(0.489792,-0.889065)
(0.701895,-0.867092)
(0.601581,-0.288003)
(0.338206,-0.140233)
(0.589862,-0.207984)
(0.265053,-0.712882)
(-0.142705,-0.974212)
(0.283883,0.998444)
(0.422773,-0.957427)
(-0.55324,-0.446852)
(-0.64803,0.273232)
(-0.03296,0.778985)
(0.727531,0.901303)
(-0.249306,0.68337)
(0.672994,0.316691)
(0.367931,-0.0029603)
(-0.306192,-0.0300607)
(-0.557573,0.134098)
(-0.701621,0.22132)
(-0.753227,0.0637226)
