(-0.175481,-0.169256)
(-0.255074,-0.189245)
(-0.148442,-0.255623)
(-0.0716575,-0.319681)
(-0.157048,-0.352214)
(-0.336711,-0.263222)
(-0.375256,-0.101993)
(-0.239143,0.0806604)
(-0.0528886,0.239723)
(0.0300607,0.23777)
(-0.0769982,0.0921049)
(-0.231635,-0.0277413)
(-0.247322,-0.0580157)
(-0.0716575,0.0282601)
(0.124546,0.170812)
(0.193335,0.217383)
(0.0308847,0.211249)
(-0.165929,0.172277)
(-0.206519,0.115024)
(-0.0455947,0.0717795)
(0.15833,0.0130924)
(0.199164,-0.126652)
(0.030549,-0.309275)
(-0.261788,-0.373119)
(-0.372723,-0.311563)
(-0.177892,-0.273537)
(0.103549,-0.159551)
(0.256142,-0.0661946)
(0.253731,-0.00717185)
(0.15125,0.0310373)
(0.0539262,0.0442518)
(-0.00390637,0.0721458)
(-0.0722068,0.0888394)
(-0.189673,0.0879849)
(-0.314768,0.125553)
(-0.378979,0.182348)
(-0.323374,0.177496)
(-0.117924,0.213507)
(0.204474,0.282846)
(0.505509,0.147862)
(0.588092,-0.0213935)
(0.518235,-0.102939)
(0.349467,-0.103946)
(0.156529,-0.0538347)
(0.0533769,0.0526444)
(0.132725,0.209693)
(0.399548,0.214698)
(0.603442,0.0282601)
(0.6068,-0.149937)
(0.477248,-0.22541)
(0.250191,-0.172918)
(0.0200507,-0.0507523)
(-0.0949736,0.158605)
(-0.0153203,0.354076)
(0.0860317,0.382397)
(0.0529191,0.232765)
(0.0454726,-0.0278024)
(0.0413526,-0.235328)
(0.0334788,-0.292276)
(0.0887173,-0.157414)
(0.105747,0.0415357)
(0.118381,0.150426)
(0.149449,0.0964385)
(0.226081,-0.0883816)
(0.231544,-0.310678)
(0.175207,-0.382641)
(0.125858,-0.234321)
(-0.0578631,-0.0835902)
(-0.264229,-0.0312204)
(-0.438643,0.0107425)
(-0.554216,-0.0128483)
(-0.564867,-0.0605792)
(-0.415845,-0.0625019)
(-0.181036,0.11243)
(0.0421155,0.298318)
(0.167058,0.262276)
(0.0837428,0.0829188)
(-0.0333262,-0.100406)
(-0.0662862,-0.1395)
(0.0913114,-0.0532853)
(0.320963,-0.0467238)
(0.401227,-0.148595)
(0.220649,-0.164647)
(-0.163854,-0.219275)
(-0.437605,-0.0532853)
(-0.321116,0.017304)
(0.0988189,-0.0362865)
(0.372051,-0.301737)
(0.315378,-0.527482)
(0.181524,-0.367473)
(-0.101413,-0.00106815)
(-0.0486465,0.436018)
(0.37019,0.55913)
(0.598559,0.341502)
(0.550127,0.0884121)
(0.249977,-0.179235)
(-0.125736,-0.333842)
(-0.327372,-0.21012)
(-0.18601,-0.0380566)
(0.0390637,0.0852687)
(0.161626,0.0756249)
(0.0815455,0.014008)
(-0.089877,-0.0245064)
(-0.21424,-0.0267342)
(-0.243416,-0.0472427)
(-0.247902,-0.106479)
(-0.269539,-0.12183)
(-0.250404,-0.029725)
(-0.124851,0.151982)
(0.129032,0.266427)
(0.362926,0.138859)
(0.36549,-0.111972)
(0.153844,-0.320231)
(-0.117252,-0.327464)
(-0.22306,-0.1301)
(-0.121128,0.0893277)
(0.0820032,0.162725)
(0.189276,0.0637532)
(0.12476,-0.0220954)
(-0.0425123,0.0617695)
(-0.0802637,0.327708)
(0.0996734,0.520157)
(0.167638,0.497116)
(0.0290841,0.269753)
(-0.101108,-0.0770898)
(-0.240852,-0.229194)
(-0.319712,-0.204443)
(-0.282388,-0.123295)
(-0.242286,-0.0737632)
(-0.220954,-0.0958281)
(-0.233711,-0.111698)
(-0.24247,-0.0283822)
(-0.254891,0.156774)
(-0.183203,0.347911)
(-0.119541,0.326914)
(0.002472,0.115299)
(0.235267,-0.162511)
(0.258614,-0.45558)
(0.219245,-0.49971)
(0.0815455,-0.342296)
(-0.298105,-0.224952)
(-0.531632,0.00341807)
(-0.411237,0.0105899)
(-0.00646992,0.0669576)
(0.400281,0.0659505)
(0.511124,-0.10419)
(0.27665,-0.132084)
(-0.119114,-0.184179)
(-0.355663,0.0295114)
(-0.244057,0.315256)
(0.032075,0.360424)
(0.224677,0.126164)
(0.219337,-0.231635)
(-0.0446791,-0.439131)
(-0.318064,-0.366131)
(-0.495193,-0.136753)
(-0.523026,0.132206)
(-0.407636,0.301187)
(-0.217353,0.333567)
(0.00747703,0.231391)
(0.193548,0.0143437)
(0.190191,-0.250649)
(0.035371,-0.323954)
(-0.147679,-0.144658)
(-0.268929,0.170019)
(-0.160924,0.385815)
(-0.0278634,0.2519)
(0.204505,-0.0398572)
(0.256752,-0.336375)
(0.226417,-0.332743)
(0.262917,-0.0216071)
(0.374096,0.216956)
(0.546281,0.23307)
(0.602954,0.0897855)
(0.530381,-0.00564592)
(0.268014,0.111484)
(-0.0220038,0.34196)
(-0.163274,0.508896)
(-0.289773,0.417463)
(-0.324351,0.100742)
(-0.146672,-0.154088)
(0.00927763,-0.0777001)
(0.056917,0.129002)
(0.0583819,0.194922)
(0.0285958,-0.00256355)
(-0.102512,-0.29432)
(-0.323557,-0.346721)
(-0.363231,-0.181921)
(-0.30314,0.195349)
(-0.0703757,0.41908)
(0.145848,0.225806)
(0.261147,-0.247627)
(-0.0195318,-0.617054)
(-0.231483,-0.569201)
(-0.256783,-0.31666)
(-0.272347,0.0280465)
(-0.178503,0.189795)
(-0.0447401,0.117344)
(0.0276193,-0.0273141)
(0.0279855,-0.0792566)
(0.0181585,-0.0383923)
(0.0439161,-0.01236)
(0.056856,-0.0882595)
(-0.0237129,-0.224799)
(-0.227577,-0.283334)
(-0.393841,-0.178259)
(-0.349223,-0.0914029)
(-0.0821558,-0.0791345)
(0.214026,-0.16953)
(0.303995,-0.390088)
(0.254707,-0.43788)
(0.0926237,-0.262246)
(-0.217597,-0.0509659)
(-0.347087,0.24659)
(-0.254677,0.441328)
(-0.124485,0.432539)
(0.019715,0.341227)
(0.179113,0.224647)
(0.331034,0.0966216)
(0.421857,-0.044496)
(0.450301,-0.110691)
(0.42851,-0.093936)
(0.3343,-0.0380261)
(0.216803,-0.0469375)
(0.179479,-0.10651)
(0.227363,-0.134037)
(0.323801,-0.152776)
(0.410199,-0.134251)
(0.420392,-0.0660421)
(0.312357,0.0299081)
(0.155858,0.0491043)
(0.0715964,-0.00143437)
(0.0591449,-0.0778527)
(0.0603656,-0.196387)
(-0.0186163,-0.327372)
